matricula,endereco,nro,compl,latitude,longitude
C001,R CONS XAVIER,100,QD5LT3,-30.033,-51.23
C002,R CONS XAVIER,244,AP 201 BL B,-30.03525,-51.23
C003,AV DR PEREIRA,250,CASA FUNDOS (CEPISA),-30.0375,-51.23
C004,TV EXP MARTINS,30,SOBRELOJA 2,-30.03975,-51.23
C005,TV EXP MARTINS,77,QUADRA 12 LOTE 05,-30.042,-51.23
C006,RUA SANTOS,410,AP 12,-30.04425,-51.23
C007,RUA XAVIER,88,,-30.0465,-51.23
C008,AVENI QUINZE DE NOVEMBRO,S/N,SN,-30.04875,-51.23
C009,NUCLE BOM JESUS,15,CS 3,-30.051,-51.23
C010,R MAL DEODORO,1200,APTO 902 TORRE A,-30.05325,-51.23
C011,AV BEIRA MAR,500,,-30.0555,-51.23
C012,RUA MEIA PRAIA,20,,-30.05775,-51.23
C013,R CONS XAVIER,12A,,-30.06,-51.23
